"author";"review";"Date";"film";"language";"word_count"
"Jay";"Finished this some hours ago and still don’t have the words. Where is the empathy man?";"25-04-2025";"No Other Land";"en";16
"zigster77";"Sad, devastating, brutal maybe even horrific. Send ne zha, the strawhats, the Avengers, the justice league, prime mike tyson and obi wan to israel immediately. Clean house.";"02-08-2025";"No Other Land";"en";27
"heath";"this needs to be required viewing for everyone. from the river to the sea, free palestine";"03-03-2025";"No Other Land";"en";16
"deniz";"reminder that it's always n will always be FREE PALESTINE until it's actually free. FUCK ISRAEL. FUCK THE IDF. FUCK TRUMP. FUCK YOU IF YOU DISAGREE.";"20-08-2025";"No Other Land";"en";26
"Mikey Brzezinski";"If you can watch this and not agree with the sentiment that the IDF is just a re-dressed-up Gestapo, there is truly no hope for your soul left in this world. A concise and invaluable historical document of communities in resilience against ruthless and inhumane psychological warfare designed to make them turn over and let their will break. Hope this becomes available for everyone to watch soon. US distributors are full fucking cowards. Free Palestine 🇵🇸";"23-10-2024";"No Other Land";"en";76
"Алексей Дружинин";"A scant context for the Israel-Palestine clash. We watch the gradual destruction of the common Palestinian village community of Masafer Yatta from 2019 to October 2023, filmed by director and local protester Besel Adra and Israeli freelance journalist Yuval Abraham.";"09-12-2024";"No Other Land";"en";40
"Joseph";"Exposing a harsh reality in times when people would rather look the other way, No Other Land sheds light on the brutal fate of a people whose existence has been shaped by tragedy. Watching this documentary reminded me a lot of Jonathan Glazer’s misunderstood Oscar-winning film The Zone of Interest—a reflection of our collective indifference. During their speech at the Berlin Festival, the filmmakers and protagonists made a powerful plea for Germany and other European countries to stop selling weapons to Israel, fueling the massacre. The irony? This documentary is being most celebrated in countries whose governments profit from the suffering of these people. Absolutely brutal.";"10-01-2025";"No Other Land";"en";106
"Nate Jones";"The tragedy of having to perform your humanity in front of cameras over and over and over again.";"22-01-2025";"No Other Land";"en";18
"Jack Uffer";"the way this still doesn’t have a distributor speaks volumes to the overall lack of humanity there is in this world. there’s no need to reiterate my points from the last diary entry. i just hope that this documentary reaches out to everyone and it’ll probably win the best documentary feature at the oscars and it’s for good reasons!!!";"02-02-2025";"No Other Land";"en";59
"Sparks Lowry";"A lot of righteous anger coming out of viewers and rightfully so, but frankly for me the film evokes more exhaustion than anything, the same exhaustion you see written all over Basel Adra throughout this thing. The idea of a wake-up call about Israeli occupation is necessary in such an indoctrinated age, but it's a preposterous idea from my perspective and that of people like me because it's been going on so obviously for so long, so how else do you react to audiences needing this to feel something about it? How else do you react to it going on for so long? But that weariness drives this in the unexpected form of a strange, traumatised buddy picture, and it hits like hell.";"09-02-2025";"No Other Land";"en";123
"Laura Parker-Saladino";"It’s hard to comprehend this level of cruelty. It’s always been, perpetuated through generations, but we hope it won’t always be. ";"10-02-2025";"No Other Land";"en";21
"Daniel Amir";"A film about the struggle for humanity in a world without it. Watch it please.";"23-02-2025";"No Other Land";"en";15
"Luke Thorne";"Powerful Oscar-nominated documentary giving an insider’s view of the destruction of the West Bank and the unlikely friendship between a Palestinian filmmaker and a Jewish journalist. In Arabic with English subtitles. ";"02-03-2025";"No Other Land";"en";31
"Webbe";"I'm really happy the Academy did the right thing and gave the Oscar for Best Documentary Feature to this. There's not much I can say about it, it's a harrowing, important and unforgettable watch. Free Palestine.";"03-03-2025";"No Other Land";"en";36
"Manifesto734";"Every bit as fucking enraging and crushing as I expected. How do you put words to something like this? And how do people support and defend the actions being filmed?";"21-01-2025";"No Other Land";"en";30
"Kazz Leskard";"I’m not a religious person. I don’t believe in a heaven or hell; i think if there is some higher power guiding our lives, it exists in a form human brains could never begin to comprehend, and the assurance and faith some people have in their belief that they have it all figured out strikes me as arrogant and smug. ";"10-02-2025";"No Other Land";"en";60
