"author";"review";"Date";"film";"language";"word_count"
"Allan Arkush";"A documentary that puts us in the lives of Palestinians whos centuries old homes and land is destroyed by the Israeli Army, house by Home by school until there is nothing left but their connection to that land.";"03-02-2025";"No Other Land";"en";38
"Kyle Turner";"On the one hand, certainly a useful, human movie as much about one’s own commitment to home and to solidarity, in addition to the weight of legacy in the face of systematic and aggressive dispossession. ";"20-09-2024";"No Other Land";"en";35
"Kenzie Vanunu";"no other land is the most important film of the year. absolutely imperative this is seen by everyone. horrific yet intimate. hearing children identify what exists so they know it’s theirs and real just… ";"25-10-2024";"No Other Land";"en";34
"𝐧𝐚𝐜𝐡𝐨𝐥𝐚𝐬";"my heart ached from beginning to end; descriptions are unable to convey the horrific, depraved and inhumane acts of the state of Israel/IDF, towards the Palestinians.";"15-03-2025";"No Other Land";"en";26
"Ellie";"From the river to the sea, Palestine will be free. Fuck the IDF.";"19-02-2025";"No Other Land";"en";13
"thorfy";"‘I think people need to figure out how to make change’";"05-03-2025";"No Other Land";"en";11
"Dok";"A memory: When I was a kid during the early days of the Great War on Terror, I remember hearing a news report a terrorist attack on a discotheque in Afghanistan and being surprised that dancing was even legal there. I'm bringing this up not out of white guilt, which I think everything from Obama onwards has shown to be the least effective force ever, but to remind myself that there's a liberal counterpart to standard American racism where you… more";"07-02-2025";"No Other Land";"en";81
"✯ Miloš⑬ 🎃↯";"Imagine being born just to live a normal human life, only to have your home destroyed without reason, consent, or agreement, and you have no other land. It honestly, truly breaks my soul.";"22-04-2025";"No Other Land";"en";33
"frmn";"In an age where suffering flickers across our screens like fleeting content, and violence is reduced to numbers in a feed, No Other Land refuses to be passively consumed. It does not ask for empathy. It demands unease. There are no neat arcs of hope, no illusions of reconciliation. This is a work of witnessing — a stark, unflinching record of dispossession, traced across a land whose very existence is contested, and through lives denied not only shelter, but dignity.… more";"01-06-2025";"No Other Land";"en";81
"Kevin Y";"I have no quibbles with the descriptive markers lavished upon this film, be it ""important"" or ""harrowing"" or ""devastating"" - all of those are true and then some, because the footage depicted will and should shake you to your core. But I do think we're slightly reticent to critique the actual filmmaking here, which is a tad conventional and dry, footage without narrative, whose main ""hook"" per se (a tenuous friendship between the Palestinian and Israeli filmmakers) isn't fully probed and even occasionally feels artificially constructed. I think Basel's perspective and account is fully valuable, fascinating, and enriching on its own, so if you're going to introduce this dynamic, it needs to be purposeful and frankly more indicting, with takeaways beyond the observation that their conversations are awkward.";"24-10-2024";"No Other Land";"en";128
"Rendy Jones";"Fuck. I don’t know what else to say. Not only is this an expertly made and edited doc but possibly the most damning images that you’ll ever see. It’ll invoke rage and distress. Free Palestine man. Fuck.";"20-09-2024";"No Other Land";"en";37
"Drew Burnett Gregory";"There’s a naïve part of me that believes all it would take is for people to watch this film. But there’s a wiser part of me that understands, as Basel points out to Yuval, that this struggle has been going on for decades and while resistance is not quick, it is still essential.";"12-09-2024";"No Other Land";"en";53
"Drew";"About five hours before I sat down to view No Other Land at Film Forum, dozens of armed and masked settlers invaded Masafer Yatta to continue their campaign of terrorizing, violating, and intimidating the people who've staked claim to the land for 200 years. It is in these West Bank villages where Basel Adra was born and has been resisting the Israeli occupation for his entire life. No Other Land is his incredible first-hand account documenting life and resistance under this occupation between 2019 and 2023.";"03-02-2025";"No Other Land";"en";86
"Holly-Beth";"there's nothing i can say that hasn't already been said but how anyone can view the situation in Palestine as anything other than genocide is maddening. never stop recording.";"25-03-2025";"No Other Land";"en";29
"vuhlandes";"I left the theater barely able to speak or breathe. I was engulfed in sadness and anger after watching this. It’s hard for me to even sit here and give it 5 stars cause while it was an amazing documentary, I didn’t like what I witnessed but that’s the point. I’m supposed to have these emotions and this is how you know the filmmakers did their job.";"24-04-2025";"No Other Land";"en";67
"Eddie The Plankton";"A documentary so bleak and harrowing, it infuriates me so much I teared up more times than I can count on one hand. Knowing that this isn't mere fiction, that these are real people that are struggling even right now as I'm posting this review makes me physically sick and nauseous.";"09-02-2025";"No Other Land";"en";51
"Stephen Gillespie";"Part way through we hear the story (and see footage) of when Tony Blair visited a school in Palestine. The street he walked down was not bulldozed by Israel; the surrounding area was. As the film says, ‘this is a story about power’. ";"02-02-2025";"No Other Land";"en";43
"Matty";"The 2025 Oscar Race: Nominee #38 of 50 (Documentary Feature #4 of 5)";"29-01-2025";"No Other Land";"en";13
"Carlos Valladares";"It’s been 352 days since this film premiered at the Berlin Film Festival, and no U.S. distributor has picked it up for an official U.S. release. Film Forum in New York is running it anyway this week, major props to them.";"01-02-2025";"No Other Land";"en";41
"mennah";"You don't have to a Muslim to support Palestine, you have to be a human being Free Palestine 🇵🇸";"09-03-2025";"No Other Land";"en";19
"Josefina (Girl On The Shore)";"Exist in this circular progression where the landscape is contantly at odds with the placement and mundanity of the destruction it recovers from (The scene in the poster being one of the most clear examples of the entire film: in between the urgency of that axis cut and the reajustment of the body of Basel, the deformation of this land continues and disrupts even his dreams), where conceiving a future becomes an uncertainty less out of lack of commitment or… more";"08-02-2025";"No Other Land";"en";81
"julie";"“we have no other land. it’s our land, that’s why we suffer for it.” ";"09-02-2025";"No Other Land";"en";14
"Cobrainwater ✄";"I'm fucking speechless. I was so deeply disturbed and overwhelmed with all of the israels monstrosity acts of violence throughout this film, it truly was a tough watch.";"02-03-2025";"No Other Land";"en";28
"CinemaCollect";"What a strange position to be in when there is no U.S. distributor for this. I happened to come across it when going through my emails yesterday and wanted to watch it ASAP before it expired.";"02-01-2025";"No Other Land";"en";36
"Adam Putra";"What a sick world we live in! This is probably one of the scariest, disturbing, anger-inducing, intense, and heart wrenching documentaries I've seen. No Other Land is a work of appreciation for Basel, Yuval, and for any journalists who contributed as voices of human rights and fought life and death documenting Israel atrocities and crimes. I have expected anything that's come to this but still felt in disbelief and enormous rage to every action Israel did to Palestinian in Masafer… more";"08-03-2025";"No Other Land";"en";81
"nora";"made me feel nauseous and angry of course. best as a narrow document capturing only a small percentage of the human rights abuses israel inflicts on palestinians, the endurance required to have resisted for so long and to continue to want to resist. definitely aimed at an audience unfamiliar with the occupation and apartheid (it’s good that it is playing at NYFF) but maybe there’s something wrong here if i’m overhearing some old audience member go “it’s a complicated conflict”… more";"05-10-2024";"No Other Land";"en";81
"Xeremy Hall 🟠🟢🔵";"The common theme of the Oscars documentaries and shorts this year is clearly, to attempt to put those who view these films into the shoes of those who live them. No Other Land shows first hand the destruction going on in that part of the world and what it is like to live right in the middle of the Palenstinian-Israeli conflict. While there is so much heartbreak and horror in this film, there is also glimpses of hope toward resolution… more";"16-02-2025";"No Other Land";"en";81
"Ali";"maybe one of the most important documentaries of the century. the whole world has lately been confronted with the immense suffering Palestinians endure - pain that existed long before October 7. it's impossible to be blind to the barbarism of the IDF - and even though social media is filled with fragments of monstrous abuses each more painful to see than the last, there’s something so so uniquely and deeply affecting about this film. witnessing this story as full narrative,… more";"16-01-2025";"No Other Land";"en";81
"Dan";"Undoubtedly one of the most important and eye-opening documentaries of our time. A fearless testament to truth, humanity, and resistance. I am giving this 5 ⭐ simply because this documentary exist. Because I'm beyond glad that someone finally had the audacity to depict, without compromise, the ongoing atrocities in Palestine. The filmmakers, especially Basel Adra and his team, risked their lives to make this happen. It reminds us of what courage looks like when the costs are unimaginably high. And… more";"21-09-2025";"No Other Land";"en";81
"EvilMonkeyToes";"The problem started around 3200 BC when countries (Iran or Egypt, depending on which historians you believe) first declared their borders--this land is ours, it belongs to us. In the 13th Century in Scotland, individual land ownership became an idea that has since prevailed worldwide. The area of the West Bank has been in conflict since 1967.";"08-02-2025";"No Other Land";"en";57
"Cody";"It’s pretty revealing that Yuval learning Arabic was seemingly all it took for him to empathize with the Palestinian plight as an Israeli. The film shows the value and necessity of communication for people to come to a literal understanding - and the film itself, with its multiple languages and subtitles, is a powerful way of democratizing communication.";"10-01-2025";"No Other Land";"en";58
"Carlos Valladares";"Every U.S. film distributor is a coward for not picking this up and showing it in theaters, across the country, around the clock, among posters of Mikey Madison and Tom Hanks.";"01-11-2024";"No Other Land";"en";31
"Christian Ha";"No Other Land is a profoundly moving and harrowing documentary that offers an unflinching look at the daily realities faced by Palestinians under occupation. While I don't claim to have a complete grasp of every facet of the Israeli-Palestinian conflict, this film provides an urgent and deeply humanizing perspective on the suffering endured by innocent civilians. The injustices depicted are not just heartbreaking but utterly unconscionable, painting a picture of a people forced to navigate an existence defined by displacement, fear, and oppression.";"31-03-2025";"No Other Land";"en";83
"based gizmo";"The strength of the human spirit. The strength of the Palestinian spirit. You just cannot fathom the things you are seeing when you watch this. I felt a red hot fire in my stomach that made me feel nauseous for most of the runtime. Rating this with stars doesn’t feel appropriate. I think anyone who sees this and doesn’t come away shaken has no soul. There will be a free Palestine in our lifetime. There has to be.";"01-03-2025";"No Other Land";"en";78
"aliyah";"no other land stopped filming in october 2023. the cameras stopped rolling, but the film was not finished. and it never will be. until palestine is free, we MUST keep on watching. we must not look away. we must not lose ourselves in the quicksand of our discomfort, we must not grate our brains to sand through endless compartmentalisation, we must not familiarise ourselves with dead bodies stretching out into infinity on our screens. we must take our pain and our rage and our tears, and with those tears we must breathe life into the dead soil of our collective humanity. from this dead soil - from action and community - we must use every muscle in our hands and our hearts to build a new reality. liberation will come from the people. liberation will come FROM PALESTINE.";"08-07-2025";"No Other Land";"en";138
"Florian Weigl";"Wrote about the sole Palestinian film in the program. Want to note that this was also the only screening so far for which I saw four cops in the foyer of the cinema.";"18-02-2024";"No Other Land";"en";33
"KMeeks";"Overwhelming and emotional to share a room with Basel and Yuval. Q&A only slightly tainted by a woman with no self awareness doing the thoughts and prayers thing. Becomes an excellent documentary when it questions the complacency of people in the Western world who act much like that woman in the crowd.";"29-09-2024";"No Other Land";"en";52
"isaidwhatisaid";"I feel like not just as a minority but being a human being at my core it's my responsibility to speak up for all the minorities around the world regardless of whether or not they are tolerant of my existence,Also human rights aren't transactional they are intersectional, And queer Palestinians exists here are the stories of a few of them which brought tears in my eyes while I was writing them down:";"24-08-2025";"No Other Land";"en";72
"Riley";"There are no words to express the level of barbarity, complete lack of humanity, & cruelty that the overtly fascist state of Israel and its deep rooted moral rot has inflicted upon the Palestinian people over the past 17 months and decades prior. My heart has slowly sunk further seeing people in my life who I previously would’ve assumed held some kind of base level empathy turn into bloodthirsty warmongers in the name of upholding western influence. Palestine will be free.";"02-03-2025";"No Other Land";"en";81
"Joshua Dysart";"The most vital movie since 20 DAYS IN MARIUPOL, and the documentary the Trump administration doesn’t want you to see.";"04-03-2025";"No Other Land";"en";20
"elliotroberts";"How could anyone watch this film and still not believe that what is happening in Gaza and the West Bank is an all-out genocide? It’s not too late for life, for the living. Free Palestine.";"04-08-2025";"No Other Land";"en";35
"Ana V";"“Masafer Yatta exists due to one reason: people who cling to life.”";"24-02-2025";"No Other Land";"en";12
"Allison M. 🌱";"Very shocking footage of Palestinian homes, schools, and wells being destroyed by Israeli soldiers. It is very powerful to see this footage. The way humans are treated are despicable. Also it’s amazing that soldiers will deny people their humanity just because they were given orders. Sound familiar? The star of the film is Basel Adra, but it’s also co-directed by three others. This is definitely heart wrenching and gripping. I can’t believe this keeps happening.";"09-02-2025";"No Other Land";"en";75
"Matt Neglia";"NO OTHER LAND is an enraging, powerful & extremely empathetic documentary that shines a light on the destruction of Palestinian homes in the West Bank’s Masafer Yatta & the heartbreaking displacement of innocent lives. Basel Adra is a courageous hero. His tireless efforts demand recognition by ensuring this film reaches as many viewers as possible. It is essential viewing for those who need to witness & understand the inhuman atrocities currently unfolding in this region. Undoubtedly, one of the best documentaries of the year.";"20-09-2024";"No Other Land";"en";84
"Ale";"I just want to remind y'all that Palestinians have a right to resist occupation and to violently oppose their colonizer, apartheid and ethnic cleansing. Anyone condemning Hamas for the events of oct 7th or calling it a war crime is a pussy. Furthermore, following the Hannibal Directive, israel was responsible for most israeli deaths that day anyway, so if anyone so badly wants to condemn a terrorist organization, there you have one.";"07-10-2025";"No Other Land";"en";72
"Movie Good or Movie Bad?";"It’s impossible for me to draft a review of No Other Land, a film that documents the atrocities happening in the West Bank from 2019 to 2023 to the Palestinian people, without drawing attention to the amount of acclaim and attention this film has received and not a single distributor wants to take it. I see people attemping to alert the gaze of our beloved indie film distributors without a real critical look at why have they too been silent?";"07-10-2024";"No Other Land";"en";80
"shookone";"a bit shocked how conventional this is, considering its reputation now. it's purely the theme that moves the needle for the public image here. a 'DIY try to make use of the digital sphere' piece to raise the attention for the westbank - a place you know about the atrocities in detail if you're willing to follow up on it in political reportage. a film like No Other Land kind of offers to place you into an emotional/intellectual state for 90 minutes to deal with the topic, yet provides this small timeframe to look into it and go on with your life in the aftermath - a classic problem of documentaries that try to educate you for political realities.";"15-01-2025";"No Other Land";"en";119
"0live 🎥 (Free 🇵🇸🇸🇩) ⚢ 🐈🦌🐇";"I don't really know what I can say about this. It speaks for itself, or rather, it allows people to speak for themselves and show the world as it is for them. I hope those people are safe, and I hope they and their whole nation will be free.";"23-01-2025";"No Other Land";"en";49
"♢ 𝙷𝚊𝚛𝚕𝚎𝚢 𝚀𝚞𝚒𝚗𝚗 ×͜×";"I could only imagine how scary but hopeful, traumatic and painful yet smiling to be them. All that for basic rights to live like any. And I feel so irate, deeply disheartened and devastated to acknowledge the fact that we live in a sick, sickly monstrous world and to realize that this is happening somewhere on the other side of the world. 😔";"07-04-2025";"No Other Land";"en";63
"idris";"free palestine. fuck the idf. never stop recording. long live the resistance.";"21-01-2025";"No Other Land";"en";12
"Liam Kenny";"Lots that this liberal Zionist film does that is insulting to the subject, but I'll keep it brief because when one sees the film they are so thoroughly beaten with cliche and lack of learning that it grows tiresome.";"05-03-2025";"No Other Land";"en";39
"Zachary Ruane";"You can watch this in Australia on DocPlay: https://www.docplay.com/shows/no-other-land You can rent it online or organise a screening in North America here: www.nootherland.com You can watch in the UK here: https://www.channel4.com/programmes/no-other-land";"23-04-2025";"No Other Land";"en";31
"Darren Carver-Balsiger";"No Other Land is powerful and essential documentary filmmaking. The situation in Israel and Palestine is beyond horrific but so often discussed from people far away. No Other Land offers a perspective from those actually living there and it's hard to not be disturbed by it. Palestinian land is stolen from them and there is no denying the footage here which shows people forced out of their homes. The destruction of villages intentionally wipes out communities and their history. There… more";"31-12-2024";"No Other Land";"en";81
"Josh Larsen";"In spite of the clinical approach the filmmakers bring to No Other Land, the activist documentary nevertheless enrages. It boggles the mind (and moral compass) to watch ludicrously overarmed Israeli forces repeatedly destroy the homes, schools, and water-supply systems of Palestinian families who have lived on the land in question since before the establishment of the state of Israel. Aside from the video documentation of the demolitions—which includes, at one point, a soldier shooting an unarmed man over a struggle to keep his family’s generator—we get vignettes of everyday life for the villagers, in which quotidian observations carry an element of unspoken anguish. While being driven to school, a smiling girl looks out the window and starts a playful chant that doubles as a cry for dignity: “We have grass — it exists! We have a mountain — it exists! We have a chicken house – it exists! We have a house — it exists!” No Other Land exists to document that she knows what she’s talking about.";"12-02-2025";"No Other Land";"en";168
"Tuomas";"Even if a title card at the end didn't drop ""A secret Israeli state document reveals the training zone was created to block Arab villagers from expanding"", it is very obvious something like that was driving the actions of the Israeli soldiers and the West Bank settlers. The former use legality as a shield to bulldoze buildings or to cement a well of all things. It's nonsensical, but the letter of the law is a very efficient way of manufacturing consent because of what a long history there is of linking morality to laws even when there are none.";"04-08-2024";"No Other Land";"en";99
"Kevflix And Chill";"VIFF 2024 #14 Unflinching look at the plight of the families living under occupation along the West Bank in Palestine. Impossible not to be moved by the families watching their homes be reduced to rubble. Really glad I rearranged my schedule to fit this film in. An urgent watch. Sadly, I the gentleman in the seat next to me did not feel that same urgency as I had to shake him on three separate occasions to get him to stop fucking snoring. But he made absolute sure that he was the first person to stand up and start clapping when the film concluded. Just fucking go home dude. ";"01-10-2024";"No Other Land";"en";108
"Karl";"It's hard to put into words the effect of this very personal look at the dehumanization and murder of Palestinians. What makes ""No Other Land"" so powerful is how personal it is. It's made by two friends, one Palestinian and one Israeli. We are reminded the latter come and go where he pleases. He has a home to go home to, while his friend has to live in a cave. Since I watched this the same evening as homes were burning in Los Angeles, (rightly or wrongly) I couldn't help but to compare the two. Tragic as the fires of California are, the homes aren't being systematically destroyed by fellow human beings. Watching as the Israeli military heartlessly plow through homes as if they're trash is infuriating. Even more painful is seeing the people who live in these homes watching their destruction.";"09-01-2025";"No Other Land";"en";142
"Lexi Amoriello";"Not only is No Other Land infuriating to watch, but it’s also infuriating to find out that such an important and urgent documentary doesn’t have a distributor.";"19-11-2024";"No Other Land";"en";27
"Jordan Nakamura";"A story Palestinians have been telling for 76 years is told again, this time with the assistance of Israeli nationals. The forced displacement of families in Masafer Yatta spans generations, and Basel's family reveals they can trace their family's ancestry in the village back to the late 19th century, shortly before the first Zionist congress assembled (in the Swiss city also called Basel) in 1897. There, a group of Europeans led by Theodor Herzl, the ""father of political zionism,"" began… more";"10-10-2024";"No Other Land";"en";81
"Filipe Furtado";"Some very good first person reporting on living at an occupied state and the extent of the Israeli forces treatment of the people in the West Bank. The first person is essential because the relationship between the filmmakers serves less to shape the film as much as offer different approximations towards the land and the struggle to hold on to it.";"31-10-2024";"No Other Land";"en";61
"john semley";"The occasion of one of the filmmakers being abducted and beaten by the IDF proved the perfect kick-in-the-pants to finally drag my ass out and see this movie. I'm glad (if that's the right word) I did. Should be mandatory viewing for all people of conscience. And all Zionists, Democrats, Republicans, AIPAC donors, Canadian bank CEOS, Ivy League university provosts, and ""Uh, well actually it's more complicated"" scolds should be forced into that Clockwork Orange gizmo to watch it, uninterrupted and unblinkingly, lest their lying eyes continue to deceive them.";"25-03-2025";"No Other Land";"en";90
"André";"This wounds the soul deeply, stripping away any joy of living in this world. These crimes against humanity unfold daily, yet no one intervenes. Homes, schools — everything is reduced to rubble, leaving families without aid, forcing them to abandon all they have and seek refuge in caves, if they survive. Basel and Yuval risked their lives to document this, hoping someone — anyone! — would take notice. But those with the power to act are aware. They simply choose to do nothing.";"24-02-2025";"No Other Land";"en";83
"Lee Does Not Exist सब्बे सत्ता सुखी होन्तु";"A film that feels heavier than the universe, simply because it only documents the truth. Yuval’s presence is suitably questioned; he is reminded he is the settler, his brothers are demolishing the villages, his friendship with Basel, as well-meaning and touching as it is, will not end the violence. We are told the film was finished in October 2023. Obviously, it doesn’t end. The film cannot end. Not until the occupation ends. Not only until Palestine is free.";"28-11-2024";"No Other Land";"en";78
"Brian Formo";"Devastating, intimate, and a necessary watch for anyone with a heartbeat. Decades of handheld camerawork documenting the occupation of the West Bank of Palestine, centering primarily on the forced evictions and demolishment of homes, schools, and water wells by the Israeli Army. The film includes footage of Basel's father leading protests against the army occupation as a twentysomething and also Basel leading protests at the same age as his father. A sympathetic Israeli journalist, Yuval, adds to the documentation of the heartless destruction of property. The years covered, 2019-2023, cement what the world is seeing now, that the complete eradication of the Palestinian population is the goal; now it just has a reaction to an attack to speed up the government's desires. The conclusion of the film, added after they finished the initial edit in Winter 2023, lays this bare. Settlers coming with guns, not just the military. Water lines cut off.";"02-09-2024";"No Other Land";"en";152
"Marya E. Gates";"In a world where video footage as a tool to speak truth to power seems to have lost its efficacy, No Other Land exists more as a form of resistance. As a form of witness. As proof of the Palestinian people's unwavering endurance, and as a document of their very existence.";"03-07-2024";"No Other Land";"en";51
"Alexei Toliopoulos";"I implore you to see this film. In cinema or seek it out. Share it. Anyone and everyone from the ages of 12 and up should see it. ";"25-01-2025";"No Other Land";"en";28
"Robert Daniels";"The only Palestinian film programmed for Berlinale is from a collective composed of Palestinian filmmakers Basel Adra and Hamdan Ballal with Israeli colleagues Yuval Abraham and Rachel Szor. It captures the destruction of a West Bank community whose origins can be tracked to the 1830s. While the filming of “No Other Land” began during Summer 2019, when Israeli courts ruled in favor of the expulsion and demolition of Basel’s village, Masafer Yatta — the struggle it depicts began much earlier.… more";"22-02-2024";"No Other Land";"en";81
"coffee";"destroying homes, schools, farms, and playgrounds and leaving the rubble behind for broken families to sift through. the cruelty was always the point. what are you even supposed to say?";"20-02-2025";"No Other Land";"en";30
"claira curtis";"There’s this perpetual question presented here of whether documentation will bring relief for the Palestinian people under Israeli occupation. The lack of a definitive answer is devastating to take in, perhaps even more so now as we’ve seen the impact that thorough documentation of an ongoing genocide has had on US politicians (next to none). Thankful for Basel Adra’s dedication to shedding light on the horrific actions of Israel against his people despite how directly it puts his life in danger and his well being at risk, but I am also filled with an unending sense of rage that he has had to do so in the first place and for such a prolonged part of his life. Adra was documenting further attacks by armed settlers on Masafer Yatta as recently as February 3rd, 2025. 5 days ago. A ceasefire is not enough (nor was it ever going to be enough). Israel continues in its seemingly never-ending desire to eradicate the Palestinian people. I have to hope that No Other Land is playing a part in ensuring they do not succeed. The world sees what Israel is doing more and more with each passing day. Palestine will be free.";"08-02-2025";"No Other Land";"en";199
"Avalyn Wu";"There is a palpable tension caused by Yuval’s presence, an awkwardness that tinges every conversation he has with Basel. This collective film effort has made the deep rift between Palestinians and Israelis all the more apparent and unavoidable. There is no resolution to this outside of a single-state solution, that state of course being a Palestinian one.";"04-11-2024";"No Other Land";"en";57
"Hungkat";"""we have no other land."" ""it's our land."" ""that's why we suffer for it.""";"04-12-2024";"No Other Land";"en";14
"Taylor Williams";"A movie about witnessing genocide firsthand as directly as we possibly can from our position of comfort, but also a movie reckoning with its own usefulness. Basel calls Yuval out for his optimism that a few articles gaining traction will put a stop to apartheid, and in many ways the film itself is an extension of the journalistic endeavors it documents. It is already wary of the hearts and minds it is being shown to, the divide between the people who will watch this movie that don’t actually need it to motivate their support for Palestine (though witnessing as unflinchingly as we do here is necessary to avoid desensitization), and the people who will watch and refuse to change their perspective despite the persecution shown in empirical bluntness. The fact that its own Letterboxd page was briefly vandalized to describe it as terrorist propoganda is testament enough to the strength of the Zionist wool pulled over this latter group’s eyes, and I think the film does a good job staying self-aware wrt its activist potential.";"05-01-2025";"No Other Land";"en";175
"Jomari Bashin";"QCINEMA INTERNATIONAL FILM FESTIVAL #7 This is just a glimpse of what's happening in Palestine right now. Yes, the film is undeniably sad, and it’s incredibly important for people to watch. But you know what’s even sadder? A story about people being killed and torn to pieces every day and the whole world is watching. A story about a boy with Down syndrome being eaten alive by IDF soldier's dog and calling the dog ‘honey stop’ because he doesn't know what's happening—only for his family to return and find his body ripped apart. A story about a little boy wandering the ruins alone because he has no one left in this world waiting for his turn to come. A story of a father mourning his barely alive baby, the child’s bones show through the thin skin, a victim of severe malnutrition. But there is nothing the father can do—Israel has cut off all food supplies to Gaza. A story of a man calmly collecting the scattered body parts of his children, placing them in a bag, and walking away. A story of a boy carrying a bloodied backpack and saying, 'This is my brother I carry with me.’ I just can't write no more, my eyes are full of tears right now, but if I try to tell all the stories I'll never finish writing. Save Palestine, save Gaza 🇵🇸🇵🇸🇵🇸";"15-11-2024";"No Other Land";"en";230
"Thel";"This is a story about power. I’ve been hearing it since I was a child.";"15-02-2025";"No Other Land";"en";15
"Zarah Sultana";"A mandatory watch that powerfully documents the endurance of the Palestinian people resisting Israeli apartheid, ethnic cleansing and military occupation 🇵🇸";"27-02-2025";"No Other Land";"en";21
"Emily St. James";"This is such basic documentary 101 stuff, but the inclusion of these moments of utterly banal and basic life going on in the midst of the film's story -- a chicken scaling a pile of rubble, black balloons floating into the sky, children pointing out things they see on a car ride -- underscores the unnatural nature of the tanks, the soldiers, the equipment entering these villages and tearing everything down. There is a balance to life that has been violently disrupted, and the strength of this film is in how it keeps that balance in mind, even amid the disruption.";"14-02-2025";"No Other Land";"en";101
"fran hoepfner";"I found the ""Sundance labs"" style of the film quite frustrating – some of which is probably because I've just watched too much verité doc in the past two years and also because it presents, to me, a pretty sanitized version of a long-standing argument that requires (within the film, I mean) an outside character to come in, ask questions, etc. in general, I think the audience for the work is one that perhaps only just now starts to understand that the long-standing human rights abuses and occupation of Palestine goes back beyond 2023... or even 2019... or whatever... that something this straight-forward and eager to explicate as simply as possible lacks distribution ""for whatever reason"" speaks to, at best, willful continued ignorance, and at worst, violent biases. I think it's not crazy to say that this movie, in and of itself, is not very good at all.";"20-09-2024";"No Other Land";"en";148
"Gemma G";"So many things to say, but what keeps sticking in my brain and heart is the potency of these everyday fussing words from Basel’s mum:";"11-12-2024";"No Other Land";"en";25
"Öykü Sofuoğlu";"I finally watched No Other Land yesterday, and one thing that really struck me was how Basel and Yuval’s discussions were haunted by a palpable tension, full of silences and unspoken words that clearly reflected that these two people spoke from uneven, unequal grounds. No Other Land is less a film about camaraderie & solidarity between an Israeli and a Palestinian, but about the unbreachable gap separating two societies that would start to narrow, if and only if a free and independent Palestine is established, but never to be completely erased.";"30-03-2024";"No Other Land";"en";91
"demi adejuyigbe";"""We have grass, it exists. We have a mountain, it exists. We have a chicken house, it exists. We have a house, It exists.""";"01-06-2025";"No Other Land";"en";24
"mira";"I understand that to many this film will be revolutionary. They'll view it as evidence that 'Israelis' and Palestinians can live happily together as long as there are people like Basel and Yuval.";"22-09-2024";"No Other Land";"en";33
"Brother Bro";"This is an intimate yet overwhelming document of ethnic cleansing taking place before our eyes. It's impossible not to feel the rage, frustration, and devastation of the abused villagers in the West Bank. And of course, it's easy to see the connective tissue between these incidents and the broader siege of Gaza, which takes place just after this story concludes.";"20-09-2024";"No Other Land";"en";60
"zoë rose bryant";"simultaneously a harrowing and unsparing depiction of the obscene horrors of the israeli occupation in palestine - horrors that have existed long before october 7, 2023 - and also a tremendously tender-hearted tribute to the pure love the palestinian people have for both each other and their land - the only land they’ve ever known. undeniably a gut-wrenching watch, and essentially so, but one that beautifully finds the balance between portraying both palestinian pain and their incredible perseverance under unspeakably inhumane conditions. a miracle of a movie in every sense of the word.";"25-10-2024";"No Other Land";"en";93
"Brandon Streussnig";"Many will come away from this feeling angry, justifiably so, but parroting the ""it's complicated"" line that they've heard time and time again. But it's not. It never was. The line has been clear to me for most of my conscious life and it never wavers. Palestine will be free. It must be free.";"22-01-2025";"No Other Land";"en";54
"davidehrlich";"~ The Film Industry’s Cowardice on Palestine Threatens to Diminish the Value of Cinema Itself ~";"25-06-2025";"No Other Land";"en";16
"davidehrlich";"Basel Adra’s first memory is of Israeli soldiers raiding his house and arresting his father, a Palestinian activist who’s been fighting to preserve the small mountain community of Masafer Yatta since long before his son was born. Adra was only five years old at the time, but he can still remember the fear of that violation as if it only happened yesterday.";"23-02-2024";"No Other Land";"en";62
"Iman Vellani";"I wish my stomach would stop churning and I also wish every human being on this planet would make an effort to watch this film";"23-02-2025";"No Other Land";"en";25
"SporkSpagel";"I want to scream at every person who has told me that Israel-Palestine is just too complicated. That both sides have their reasons, and an outsider simply cannot understand or pick a side.";"14-04-2024";"No Other Land";"en";33
"KYK";"“Land you have to die for is yours, not land you have to kill for.” I left this film with my heart absolutely shattered again, and inflamed with anger.";"20-09-2024";"No Other Land";"en";29
"Isak";"Just an hour ago, I finished watching “Dune: Part Two,” and I’m still riding the high, with Hans Zimmer’s ethereal soundtrack playing as I gather my thoughts for this review. Normally, I might skip the in-depth post-film analysis, given the mental and temporal commitment it demands. However, this film compels me to make an exception, it deserves every ounce of reflection and praise. Sitting in the aftermath, through the credits, I was enveloped in silence, staring in pure appreciation. Never… more";"29-02-2024";"Dune: Part Two";"en";81
"Movie Diary";"Seize the means of (spice) production, hydrate in the distilled essence of your enemies, drink up some worm juice, and get yourself a hype man & a pissed-off band of insurgency. Congratulations! Now you are the (false) messiah. Girlfriend is temporary; the spice must flow!";"18-03-2024";"Dune: Part Two";"en";45
"NerdSoupAaron";"As long as this is in theaters, every second I’m not at the movies watching dune 2 will be a second wasted";"26-02-2024";"Dune: Part Two";"en";22
"alexa🪼🫧🪩";"he’s bald! he’s bald and he’s torturing people who have hair!";"26-12-2024";"Dune: Part Two";"en";11
"edgard713";"One of the very best movies to come out of mainstream cinema since the start of this decade.";"01-03-2024";"Dune: Part Two";"en";18
