"year";"title";"score";"abstract";"Director";"cast";"genres";"link"
2021;"Sing 2";3,23;"";"Garth Jennings";"Matthew McConaughey; Reese Witherspoon; Scarlett Johansson; Taron Egerton; Bobby Cannavale; Tori Kelly; Nick Kroll; Halsey; Nick Offerman; Letitia Wright; Eric André; Pharrell Williams; Chelsea Peretti; Bono; Garth Jennings; Adam Buxton; Jennifer Saunders; Julia Davis; Peter Serafinowicz; Wes Anderson; Jason Broad; Doug Burch; Cathy Cavadini; Will Collyer; Hudson D'Andrea; Brian T. Delaney; Remy Edgerly; Aaron Fors; Julianna Gamiz; George Griffiths; Isa Hall; Aaron Hendry; Barbara Harris; Asa Jennings; Caspar Jennings; Louise Jennings; JP Karliak; John Kassir; Katherine Kelloway; Igor Khait; Danny Mann; Vida Alves McConaughhey; Scott Mosier; Levi Nunez; Joy Poirel; Adeline Krupinski Polidoro; Noreen Reardon; Chris Renaud; Gary Rizzo; Jason Schwartzman; Liza Seneca; Ayden Soria; Jack Stanton; Fisher Stevens; Tara Strong; Regina Taufen; Thomas Walters; Colette Whitaker; Debra Wilson; Edgar Wright; Nora Wyman; Spike Jonze";"Family; Music; Comedy; Animation";"https://letterboxd.com/film/sing-2/"
2025;"The Roses";3,51;"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo’s career nosedives while Ivy’s own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.";"Jay Roach";"Olivia Colman; Benedict Cumberbatch; Kate McKinnon; Andy Samberg; Ncuti Gatwa; Sunita Mani; Zoë Chao; Jamie Demetriou; Delaney Quinn; Hala Finley; Ollie Robinson; Wells Rappaport; Allison Janney; Will Smith; Caroline Partridge; Margaret Clunie; Ollie Dabbous; Jude Coward Nicoll; Belinda Bromilow; Akie Kotabe; Emily Piggford; Paul Pape; Ranjani Brow; Robin Atkin Downes; Matt Corboy; Lauren Beacham";"Romance; Drama; Comedy";"https://letterboxd.com/film/the-roses-2025/"
2024;"Oddity";3,39;"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.";"Damian McCarthy";"Carolyn Bracken; Gwilym Lee; Steve Wall; Joe Rooney; Tadhg Murphy; Caroline Menton; Jonathan French; Ivan de Wergifosse; Shane Whisker; Josuha Campbell; Austin Lawlor; Peter McCarthy; Fiach McHugh; Patrick Mullins; Jim O'Donnell; Inma Pavon; Leticia Lopez Ramos; Chris Mudrack; Eileen McCarthy; Pete McCarthy; Robert Collender; Evan Horan";"Mystery; Horror";"https://letterboxd.com/film/oddity-2024/"
2020;"Extraction";3,14;"A hardened gun-for-hire’s latest mission becomes a soul-searching race to survive when he’s sent into Bangladesh to rescue a drug lord’s kidnapped son.";"Sam Hargrave";"Chris Hemsworth; Rudhraksh Jaiswal; Randeep Hooda; Golshifteh Farahani; Pankaj Tripathi; David Harbour; Bryon Lerum; Ryder Lerum; Shivam Vichare; Piyush Khati; Sara Rumao; Aarti Kulkarni; Umakant Patil; Praveen Indu; Swapnil Kokam; Neha Mahajan; Pallas Prajapati; Shazia Naz Gill; Rob Collins; Wayne Blair; Adam Bessa; Sam Hargrave; Rayna Campbell; Patrick Newall; Chris Jai Alex; Vonzell Carter; Héctor Andreu; Priyanshu Painyuli; Sumeet Thakur; Projoy Majumdar; Sounak Kundu; Pabitra Mondal; Abhinav Srivastana; Suraj Rikame; Shataf Figar; Kundan Roy; Amritpal Singh; Yatendra Bahuguna; Debapriya Saha; Sujay Mondal; Surojit Mondal; Raj Santra; Anup Sharma; Chris Romrell; Craig 'Chili' Palmer; Michael Lehr; Brandon McClary; Mutaza Khatawala; Alejandro Anduze; Aditya Paul; Shreya Vivek; Sharan Gulati; Shitij Gulati; Akshat Pathak; Tejeshwar Singh Mann; Sudipto Balav";"Thriller; Action";"https://letterboxd.com/film/extraction-2020/"
2020;"Mulan";2,27;"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.";"Niki Caro";"Liu Yifei; Donnie Yen; Gong Li; Jet Li; Jason Scott Lee; Yoson An; Tzi Ma; Rosalind Chao; Cheng Pei-Pei; Ming-Na Wen; Xana Tang; Ron Yuan; Jun Yu; Chen Tang; Doua Moua; Jimmy Wong; Nelson Lee; Hoon Lee; Crystal Rao; Elena Askin; Vincent Feng; R.J. O'Young; Roger Yuan; Jenson Cheng; Arka Das; Jen Sung; King Lau; Zhaidarbek Kunguzhinov; Gary Young; Wolf Chen; Owen Kwong; Young-H. Lee";"Fantasy; Adventure; Action";"https://letterboxd.com/film/mulan-2020/"
2021;"To All the Boys: Always and Forever";2,71;"Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.";"Michael Fimognari";"Lana Condor; Noah Centineo; Janel Parrish; Anna Cathcart; Ross Butler; Madeleine Arthur; Emilija Baranac; Trezzo Mahoro; Sarayu Blue; John Corbett; Henry Thomas; Sofia Black-D'Elia; June B. Wilde; Kelcey Mawema; Jeon Ho-young; C. Ernst Harth; Ese Atawo; Rhianna Jagpal; Michael Delleva; Molly Grace; Momona Tamada; Rian McCririck; Jenny Han; Linda Ko; James Li; Julie Tao; Vonnie Bennetto; Joey Pacheco; Jara Zeimer; Anisha Cheema; Susie Lee; Rish Shah; Nathan Parrott; Kayla Deorksen; Jerry Yang; Lisa Durupt; Kalyn Miles; Sarah Formosa; Mariesa Crouse; Danielle Brokopp; Janelle McDermoth; Katie Do; Addison Sartino; Brandon Yangmi; Austin Fraser; Pierce Turcotte; Dan Cipriano; Eun-Mi Jeon; Song Hoon; Kevin 'Woo-Young' Seon; Ahn Jae-Jun; Eun-Seok Lee; Gina Jun";"Comedy; Romance; Drama";"https://letterboxd.com/film/to-all-the-boys-always-and-forever/"
2025;"Opus";2,72;"A young writer is invited to the remote compound of a legendary pop star who mysteriously disappeared thirty years ago. Surrounded by the star’s cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.";"Mark Anthony Green";"Ayo Edebiri; John Malkovich; Juliette Lewis; Murray Bartlett; Melissa Chambers; Tony Hale; Stephanie Suganami; Mark Sivertsen; Amber Midthunder; Tatanka Means; Aspen Martinez; Peter Diseth; Tamera Tomakili; Rose Marley Meizlesh; Jasper Keen; Young Mazino; Jean Effron; Justin Perry; Aimee McGuire; Chris Highlands; Andrew McMaster; Lily Joy Winder; Orion Carrington; Jeremiah Core; Marjorie W. Conner; Lex Lotito; Gabriel Armijo; Casey Messer; Samantha Christine; Rosario Dawson; Tristan Manyhorses; Ryan Cowles; Sean McCormick; Bill Burr; Lenny Kravitz; Lil Nas X; Sarah May Sommers; Michael E. Stogner; John Freelykirk; Justin Peach; Crystal Mayes; Joellyn Baca";"Horror; Thriller; Mystery";"https://letterboxd.com/film/opus-2025/"
2024;"The Room Next Door";3,37;"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation.";"Pedro Almodóvar";"Julianne Moore; Tilda Swinton; John Turturro; Alessandro Nivola; Juan Diego Botto; Raúl Arévalo; Victoria Luengo; Alex Høgh Andersen; Esther-Rose McGregor; Alvise Rigo; Melina Matthews; Sarah Demeestere; Anh Duong; Bobbi Salvör Menuez; Annika Wahlsten; Shane Woodward; Paolo Luka Noé; Cristina Kovani; Nya Bowman; Dora Rowdon; Viktor Longo; Antonios Antoniadis; Celia Rocha; Kyla Thomas; Toon De Melker; Ira Gramerman; Tom Johnson";"Drama";"https://letterboxd.com/film/the-room-next-door-2024/"
2024;"Kraven the Hunter";1,96;"Kraven Kravinoff’s complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.";"J.C. Chandor";"Aaron Taylor-Johnson; Ariana DeBose; Fred Hechinger; Alessandro Nivola; Christopher Abbott; Russell Crowe; Yuri Kolokolnikov; Levi Miller; Tom Reed; Billy Barratt; Diaana Babnicova; Murat Seven; Greg Kolpakchi; Mark Arden; Jack Brady; Alex Batareanu; Will Bowden; Damola Adelaja; Guillaume Delaunay; Duran Fulton Brown; Tanaka Mandimika; Robert Hladik; Thor Kjartansson; Christos Dante; Adam Bowman; Bradley Farmer; Paul Bailey; Dritan Kastrati; Anita-Joy Uwajeh; Alex Skarbek; Ivan Ignatenko; Susan Aderin; Preslav Shipkaliev; Al Nedjari; Elizabeth Appleby; Marie Hogle; Jon Xue Zhang; Elander Moore; Bailey Patrick; Christopher Whitlow; Waleed Hammad; Toto Bruin; Maxine Whittaker; Jonny James; Rashid Phoenix; George Surry; Yusuf Chaudhri; Andrei Nazarenko; Doren John Farmer; Douglas Robson; Michael Shaeffer; Roderick Hill; Camilla Aiko; Neil Bishop; Rachel Handshaw; Odimegwu Okoye; Masha Vasyukova; Rene Costa; Stephane Fichet";"Adventure; Thriller; Action";"https://letterboxd.com/film/kraven-the-hunter/"
2020;"Wolfwalkers";4,22;"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.";"Tomm Moore";"Honor Kneafsey; Eva Whittaker; Sean Bean; Simon McBurney; Tommy Tiernan; Maria Doyle Kennedy; Jon Kenny; John Morton; Nora Twomey; Oliver McGrath; Paul Young; Niamh Moyles; Ben Andrews; Jerome Burelbach; Vince Drews; Seamus Greene; Gilbert Johnston; Luke Mandie; Ian Sanderson; Jack Caldwell; Eoin Cleary; Marguerita Hanlon; Jacob Holden; Clare Keating; Orla Keating; Caolán Lulias; Patrick McGrath; Daisy Moran; Dylan Muldowney; Mark O'Connell; Róisín O'Shea; Philip Brennan; Jim Carroll; Richie Cody; Brendan Corcoran; Michael Culleton; Sarah Doyle; Amy Dunne; Gilly Fogg; Jennifer Hughes; Michael McGrath; Ken McGuire; Desirée Meade; Graham Mills; Aoibhin Murphy; Mags Murphy; Aaron O'Dea; Cara O'Doherty; Aoife O’Neill; Jacqueline Purcell; Muireann Ryan; Alan Slattery; David Thompson; Eleanor Walsh";"Animation; Family; Fantasy; Adventure";"https://letterboxd.com/film/wolfwalkers/"
